,0
t647533130_Enterococcus_faecalis,1
t637000024_Bacteroides_fragilis,0
t637000265_Shigella_flexneri,1
t641522650_Shigella_boydii,1
t639633027_Lactobacillus_brevis,1
t643348538_Desulfovibrio_desulfuricans,0
t644736381_Lactobacillus_plantarum,1
t642555155_Salmonella_enterica,1
t637000026_Bacteroides_thetaiotaomicron,0
t641736249_Clostridium_perfringens,1
t637000138_Lactobacillus_acidophilus,1
t638341089_Escherichia_coli,1
t651053039_Lactobacillus_casei,1
t651053075_Streptococcus_thermophilus,1
t647000254_Fusobacterium_nucleatum,0
t651053041_Lactococcus_lactis,1
t2511231165_Pseudomonas_aeruginosa,1
t640963041_Campylobacter_jejuni,0
t637000140_Lactobacillus_johnsonii,1
t640427143_Shigella_sonnei,1
t648231712_Lactobacillus_salivarius,1
t637000139_Lactobacillus_delbrueckii,1
t637000341_Wolinella_succinogenes,0
t643886066_Lactobacillus_gasseri,1
t649633019_Bifidobacterium_longum,1
t650377907_Bacillus_subtilis,1
t650716072_Porphyromonas_gingivalis,0
t640963015_Bifidobacterium_adolescentis,1
t651053059_Propionibacterium_acnes,0
t2511231143_Leuconostoc_mesenteroides,1
t640427142_Shigella_dysenteriae,1
